,Governor ID,Name,Ranking,Power,PreKVK Power,KVK Contrib,Scaler_Down,Scaled Score
536,96708632,Kuzäッ,285,31226718.0,36438179.0,9949853.0,1.2466229247927556,12403714.848117974
189,45764094,Ring shoes care,221,85502937.0,63771296.0,12403580.0,,12403580.0
136,7143022,FrankIyn,222,66894982.0,71630438.0,12398437.0,,12398437.0
272,63480706,Nīght Kīng,223,57037619.0,54771481.0,12334592.0,,12334592.0
195,29489887,くˢᶜᵃʳʸ,224,64510640.0,62912551.0,12236863.508,,12236863.508
413,83619899,Driscie,250,43356778.0,42430076.0,11304080.44,1.081614151588468,12226653.374598397
83,20379195,Moon4lite,225,76894544.0,78040337.0,12206797.0,,12206797.0
348,15800654,Gaia Kight Chao,233,51974498.0,45996308.0,12054624.0,1.0109103921845048,12186144.675476745
57,17413785,暗 Toxic Arrow,226,83625948.0,81805009.0,12167583.0,,12167583.0
84,52618268,Test Knight,228,77536102.0,77821338.0,12126769.792000001,,12126769.792000001
429,63559810,Blackshadow26,266,38607537.0,41608360.0,10791227.0,1.1232578039373355,12121329.941809282
387,62166694,DRIFTERS187,247,44733829.0,43903399.0,11391521.0,1.0627985890796867,12106892.446271623
311,80449273,ʟaᴜʀa OG,229,52426147.0,48753874.0,12102536.0,0.9959709588546277,12102536.0
229,59438289,GangstaDrëkles,230,59814130.0,58625321.0,12079441.0,,12079441.0
154,51061315,Chinese299,231,66043961.0,68747342.0,12074230.0,,12074230.0
385,75908772,XeLLin,242,50700338.0,43975307.0,11713883.0,1.0276903759783949,12038244.824436927
257,63921213,OSkadon OG,235,58378910.0,56158951.0,12003034.0,,12003034.0
707,96204648,Trooper Clînt,328,24856041.0,31258747.0,8488218.0,1.4067718856164493,11940986.441383487
120,51651109,ᴿᵒʸᵃᴵK,237,72372440.0,73614878.0,11915608.0,,11915608.0
296,71824582,TheDarkFuryᶰf,238,54539095.0,50382755.0,11893884.0,,11893884.0
558,80264477,M3llow Angelヅ,287,36257673.0,35660339.0,9832027.0,1.1995830623382038,11794333.057651903
383,54128420,Rack7,253,46831922.0,44235356.0,11226192.0,1.0479385853677732,11764359.763547013
495,76180743,Mschief Manage,275,40986819.0,38444360.0,10392017.0,1.1296951639913908,11739811.349016322
222,62399044,Chuck乂Norris,240,61134265.0,60369465.0,11729659.232,,11729659.232
549,96209643,Sheldecks雷龘,272,44744999.0,36027554.0,10481578.0,1.1187814968266763,11726595.52394556
807,95674238,VoidPsycho,324,32401983.0,27514050.0,8608694.0,1.3485362522144386,11609135.943220925
378,61838834,Kiĺĺer wolf,265,44909220.0,44612353.0,10835312.0,1.0572700819601786,11455851.206304107
176,53565432,パンダPandà,244,71336666.0,66804669.0,11444588.008,,11444588.008
166,61950882,Lazy Luffy,245,64161162.0,67980170.0,11437779.0,,11437779.0
780,85371359,Salah Dawod,340,28553109.0,28528127.0,8210548.492000001,1.3914435826305316,11424515.00907019
94,33910779,Mashmattatoe,248,78835683.0,75911754.0,11354034.004,,11354034.004
88,50653451,Bigboybobo,249,75655734.0,77202445.0,11309468.004,,11309468.004
187,39190271,DarthB殺無赦,251,62227723.0,63895821.0,11289358.0,,11289358.0
255,37773820,Sapper88,252,57516086.0,56289232.0,11288071.0,,11288071.0
331,35224446,PR㋛LETAR,260,47989034.0,46721566.0,10933217.0,1.0275041509936818,11233925.851214688
113,24577697,PopeTheFvckBoy,254,67750449.0,74120499.0,11180063.015999999,,11180063.015999999
633,29028720,BloodhounderSpy,315,34067244.0,33704632.0,8968183.0,1.2453664710615957,11168674.414544595
91,15186568,暗 pequod,255,67914066.0,76465502.0,11144984.0,,11144984.0
783,76760949,SAAD EVIL,339,31559708.0,28253496.0,8230483.884,1.3500389642749073,11111473.938236676
132,62399898,19Alim93 Dealer,256,80435251.0,71995282.0,11051550.004,,11051550.004
690,78599363,Suepapi,326,32358321.0,31784696.0,8552637.02,1.290221393381835,11034795.253033465
301,67184899,义Galatian义,258,49271373.0,49981139.0,11003547.0,,11003547.0
247,16028895,JaneHunston,259,55867372.0,57226296.0,10967425.0,,10967425.0
920,80252834,M3llow Beardy,368,25999338.0,25583906.0,7394241.032000001,1.4832223142688665,10967303.295744853
463,61498739,Playdz,283,43977913.0,40364647.0,9993978.0,1.0917627740519391,10911053.14509405
239,55784967,Lazy lady bep,263,57703539.0,58135681.0,10905501.0,,10905501.0
302,63751320,Warlord Ragnär,264,53529758.0,49889595.0,10879310.0,,10879310.0
533,50379414,Slayer X Stag,309,36211863.0,36590846.0,9119092.0,1.1905184859026412,10856447.600646889
462,42028782,PirateカEitschiカ,296,38510039.0,40385311.0,9524900.0,1.1341779307775846,10802931.372863416
293,60134257,Rin OG,267,52299738.0,50576029.0,10750722.068,,10750722.068
724,96291019,紫英 Amethy,338,33359752.0,30406092.0,8296055.0,1.29515422143883,10744670.654538713
363,75398017,火SmileDance,279,45971897.0,45187762.0,10243230.0,1.0473938633546283,10728696.242930029
664,85766430,Berserkerシ,323,35643799.0,32733057.0,8625962.992,1.2383341808568198,10681824.815799562
181,64306210,Kopi no sugar,268,68817824.0,65240851.0,10589813.0,,10589813.0
315,83310067,SlayerˣSiDji,270,51544689.0,48349173.0,10543971.004,1.001801454902753,10562965.492259642
242,37765024,Đumoƞt,269,60603212.0,57970242.0,10548287.848,,10548287.848
622,73393192,Pirate LoMboK,333,33033123.0,34145067.0,8395092.0,1.2523887151837114,10513918.483729055
38,1616635,AbbyRigg Hèró,271,82495521.0,85505853.0,10483460.0,,10483460.0
886,97127787,AmeAmeAmeAmeAme,353,34212198.0,26092836.0,7789481.0,1.3428880076607783,10460400.620801488
188,14020401,Bajietong OG,273,61728123.0,63826179.0,10420056.0,,10420056.0
